0-0.xml	10-5.xml	20-20.xml	30-45.xml	40-80.xml	50-125.xml	60-180.xml	70-245.xml	80-320.xml	90-405.xml	100-500.xml	
21	24	25	34	62	137	636	1089	3769	20815	175187
17	19	21	30	55	143	438	886	1881	21024	38562
18	19	21	32	52	173	460	1126	2508	18259	46446
18	21	21	33	51	105	663	1287	3297	17622	38618
18	19	21	32	47	126	290	957	2504	21607	62945
21	22	25	36	57	102	693	1184	2978	15548	48502
17	19	21	29	52	110	475	978	2428	29115	64672
18	19	21	34	54	171	372	1027	2431	28947	77201
18	19	21	30	57	154	478	1162	2317	20090	42397
18	20	21	33	52	126	739	1087	2178	33216	52581
28	23	31	35	53	150	721	600	4453	30031	43556
19	18	21	29	57	126	557	896	4790	22509	84085
18	18	20	33	47	136	544	1452	2599	22944	58857
17	18	21	33	44	109	408	1367	2429	12413	74412
17	19	21	31	50	124	535	1685	3339	23785	38642
18	19	21	34	41	140	379	953	1544	17595	85164
17	23	22	30	54	170	752	1272	2637	19734	64991
18	20	25	31	55	181	624	1039	4587	29539	46024
19	21	24	30	46	141	280	806	5235	19321	52358
18	20	23	30	47	170	461	1231	2302	20079	59566
23	24	21	30	47	194	400	894	2822	24218	48921
18	20	21	34	46	137	489	892	1945	26749	33047
17	21	22	31	44	142	753	1737	2787	15713	63786
18	20	23	30	50	140	349	1551	2288	23184	45255
18	22	21	31	56	109	588	1321	2202	21796	38965
19	19	22	32	54	119	548	1194	4592	23100	65445
18	21	22	32	54	121	541	1226	2064	26339	49808
19	19	22	31	56	124	433	799	2959	20907	74271
18	20	22	31	54	143	434	999	3094	37227	49372
18	18	21	30	45	124	565	879	4067	19394	35114
19	20	23	32	60	137	591	736	2262	30716	48619
18	20	22	33	50	154	347	1222	4320	24691	36172
18	24	20	29	48	134	347	1683	2360	16341	72707
18	18	22	31	44	101	407	973	2565	15790	63770
18	18	20	31	50	155	540	535	2708	15890	53046
19	19	24	31	45	167	443	1320	2692	22747	52512
19	20	23	30	58	103	484	1149	2558	20732	51006
19	20	23	31	51	125	428	687	3165	24685	56058
19	18	23	30	50	143	569	823	3387	20448	96061
19	20	22	31	51	134	644	907	2663	30954	36707
20	26	26	41	67	168	472	1579	3303	19284	48327
18	20	24	30	51	143	420	1022	4500	32739	57282
18	19	20	31	44	143	436	1116	2999	14059	53275
18	18	23	31	49	101	338	957	1867	20622	28862
17	19	23	32	48	102	517	726	4114	31897	44617
18	21	23	34	49	106	496	784	4289	28750	88894
19	20	21	34	49	151	493	1377	2052	20964	41123
19	20	21	29	58	144	523	907	1648	23298	50796
19	22	22	31	56	162	462	814	3577	34547	49707
18	18	21	29	60	101	763	1053	1819	31704	43441
