175187	9028
38562	36286
46446	5013
38618	9558
62945	1480
48502	5769
64672	4519
77201	12739
42397	8807
52581	14506
43556	22624
84085	3298
58857	43121
74412	3920
38642	2951
85164	3762
64991	17469
46024	6481
52358	8644
59566	8007
48921	11322
33047	3922
63786	28866
45255	7656
38965	16997
65445	6537
49808	5111
74271	11047
49372	9030
35114	5406
48619	32182
36172	34524
72707	28067
63770	5461
53046	6095
52512	24310
51006	15149
56058	82026
96061	44345
36707	5998
48327	13515
57282	15303
53275	8737
28862	3849
44617	3399
88894	19924
41123	10780
50796	6336
49707	26557
43441	6032
