gt-OVA1.xml	mt-OVA1.xml	gt-OVA2.xml	mt-OVA2.xml	gt-OVA3.xml	mt-OVA3.xml	gt-XMA-c.xml	mt-XMA-c.xml	gt-XMA-p.xml	mt-XMA-p.xml	gt-XMD.xml	mt-XMD.xml	gt-MSH.xml	mt-MSH.xml	gt-NTH.xml	mt-NTH.xml	gt-100-100.xml	mt-100-100.xml	gt-100-200.xml	mt-100-200.xml	gt-100-1000.xml	mt-100-1000.xml	gt-0-0.xml	mt-0-0.xml	gt-10-5.xml	mt-10-5.xml	gt-20-20.xml	mt-20-20.xml	gt-30-45.xml	mt-30-45.xml	gt-40-80.xml	mt-40-80.xml	gt-50-125.xml	mt-50-125.xml	gt-60-180.xml	mt-60-180.xml	gt-70-245.xml	mt-70-245.xml	gt-80-320.xml	mt-80-320.xml	gt-90-405.xml	mt-90-405.xml	gt-100-500.xml	mt-100-500.xml	
1	1	4	3	38	52	181	78	4815	9070	772	381	665	204	541	800	4	2	5	4	55	19	1	0	1	1	2	0	2	1	3	1	7	3	4	3	5	4	6	6	7	8	10	9
2	1	2	2	35	53	128	83	6752	9339	1143	383	709	199	237	1143	4	2	5	5	16	19	1	0	1	0	1	1	1	1	2	1	3	3	4	3	5	5	6	6	6	7	55	10
2	0	2	2	35	52	126	80	8106	10578	1066	381	579	205	538	799	3	3	5	4	58	17	1	0	1	0	1	1	1	1	2	2	2	3	3	4	4	4	5	6	7	7	7	9
1	1	2	2	35	52	128	81	6705	9907	1048	378	581	205	533	799	3	2	4	4	58	17	1	0	1	0	1	0	2	1	2	1	3	2	4	3	5	4	6	6	7	7	8	9
1	1	2	2	35	53	127	80	6707	10420	1192	381	672	200	237	1101	3	3	4	4	15	18	0	0	0	0	1	0	2	1	2	1	3	2	4	3	4	5	5	6	56	7	7	10
1	1	2	2	37	52	126	82	8028	9880	1093	380	328	208	457	1020	3	3	4	4	16	19	1	0	1	0	1	1	2	1	2	2	4	2	4	4	5	4	5	6	6	7	7	9
1	1	2	2	35	52	125	81	6581	9736	1052	380	328	207	459	1017	3	2	4	5	16	19	0	0	1	0	2	0	2	1	3	1	2	3	4	4	4	5	5	6	6	7	7	9
1	1	2	2	35	53	126	81	7563	10548	1268	448	728	229	238	1143	3	3	4	4	15	19	1	0	1	0	1	1	2	1	2	1	2	3	4	3	5	4	5	5	6	63	8	9
2	1	3	2	36	52	128	80	8118	10010	1096	383	651	201	240	1111	3	2	4	4	16	19	0	0	1	0	1	1	1	1	2	1	2	3	4	4	5	4	5	7	7	7	9	10
2	1	2	2	35	52	127	80	7718	10674	1119	380	690	201	237	1120	3	2	4	4	16	18	1	0	1	0	1	1	1	1	2	2	3	3	4	4	4	5	65	5	6	8	8	11
1	1	2	2	36	52	127	80	7975	9937	1071	383	650	198	237	1139	3	3	4	4	14	19	1	0	1	0	1	1	1	1	2	2	3	2	3	4	4	5	5	6	7	7	50	8
1	1	2	2	36	52	126	83	7795	10164	468	1144	553	202	237	1081	3	3	4	4	15	18	0	0	1	0	2	0	2	1	2	1	2	3	3	4	4	31	5	5	6	7	8	9
2	0	2	2	35	53	126	81	6852	9824	517	1081	769	194	238	1091	3	3	4	4	14	19	1	0	0	1	1	0	2	1	1	2	3	2	4	3	4	5	5	6	6	7	7	9
1	1	2	2	35	53	218	78	8306	10585	282	1378	743	194	237	1084	3	2	5	4	14	19	1	0	1	0	1	1	1	1	2	2	2	3	3	4	4	5	5	6	6	8	8	9
