# "N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"	"N"	"C"
# "t-1"	"t-1"	"t-6"	"t-6"	"t-11"	"t-11"	"t-16"	"t-16"	"t-21"	"t-21"	"t-26"	"t-26"	"t-31"	"t-31"	"t-36"	"t-36"	"t-41"	"t-41"	"t-46"	"t-46"
0.454545454545455	0.462727272727273	0.477272727272727	0.474545454545455	0.487272727272727	0.494545454545455	0.488181818181818	0.493636363636364	0.492727272727273	0.497272727272727	0.49	0.498181818181818	0.498181818181818	0.494545454545455	0.497272727272727	0.491818181818182	0.498181818181818	0.497272727272727	0.498181818181818	0.490909090909091
0.468181818181818	0.462727272727273	0.474545454545455	0.484545454545455	0.483636363636364	0.493636363636364	0.493636363636364	0.486363636363637	0.495454545454545	0.497272727272727	0.492727272727273	0.498181818181818	0.493636363636364	0.490909090909091	0.492727272727273	0.494545454545455	0.498181818181818	0.498181818181818	0.497272727272727	0.497272727272727
0.473636363636364	0.476363636363636	0.497272727272727	0.481818181818182	0.490909090909091	0.482727272727273	0.494545454545455	0.486363636363636	0.489090909090909	0.497272727272727	0.498181818181818	0.497272727272727	0.497272727272727	0.491818181818182	0.497272727272727	0.497272727272727	0.498181818181818	0.498181818181818	0.498181818181818	0.498181818181818
0.454545454545455	0.467272727272727	0.493636363636364	0.489090909090909	0.492727272727273	0.487272727272727	0.497272727272727	0.485454545454545	0.490909090909091	0.48	0.497272727272727	0.489090909090909	0.498181818181818	0.492727272727273	0.498181818181818	0.497272727272727	0.496363636363636	0.498181818181818	0.498181818181818	0.493636363636364
0.45	0.47	0.479090909090909	0.481818181818182	0.487272727272727	0.475454545454546	0.492727272727273	0.48	0.490909090909091	0.494545454545455	0.496363636363637	0.497272727272727	0.498181818181818	0.490909090909091	0.492727272727273	0.492727272727273	0.498181818181818	0.498181818181818	0.498181818181818	0.498181818181818
0.442727272727273	0.459090909090909	0.475454545454545	0.468181818181818	0.488181818181818	0.490909090909091	0.490909090909091	0.498181818181818	0.498181818181818	0.489090909090909	0.498181818181818	0.488181818181818	0.486363636363637	0.497272727272727	0.498181818181818	0.488181818181818	0.498181818181818	0.494545454545455	0.498181818181818	0.498181818181818
0.446363636363637	0.478181818181818	0.472727272727273	0.482727272727273	0.495454545454545	0.490909090909091	0.497272727272727	0.486363636363637	0.498181818181818	0.497272727272727	0.498181818181818	0.498181818181818	0.498181818181818	0.497272727272727	0.493636363636364	0.492727272727273	0.498181818181818	0.495454545454545	0.492727272727273	0.497272727272727
0.475454545454545	0.476363636363636	0.468181818181818	0.48	0.490909090909091	0.486363636363637	0.497272727272727	0.483636363636364	0.494545454545455	0.498181818181818	0.492727272727273	0.493636363636364	0.497272727272727	0.498181818181818	0.489090909090909	0.493636363636364	0.494545454545455	0.487272727272727	0.495454545454545	0.493636363636364
0.465454545454546	0.445454545454546	0.476363636363636	0.487272727272727	0.498181818181818	0.484545454545455	0.493636363636364	0.496363636363636	0.490909090909091	0.490909090909091	0.492727272727273	0.488181818181818	0.498181818181818	0.497272727272727	0.492727272727273	0.498181818181818	0.498181818181818	0.493636363636364	0.494545454545455	0.49
0.454545454545455	0.46	0.472727272727273	0.49	0.495454545454545	0.483636363636364	0.493636363636364	0.484545454545455	0.498181818181818	0.492727272727273	0.49	0.483636363636364	0.498181818181818	0.497272727272727	0.497272727272727	0.497272727272727	0.498181818181818	0.495454545454545	0.498181818181818	0.492727272727273
0.454545454545455	0.451818181818182	0.475454545454545	0.474545454545455	0.492727272727273	0.483636363636364	0.49	0.497272727272727	0.493636363636364	0.488181818181818	0.497272727272727	0.497272727272727	0.488181818181818	0.490909090909091	0.493636363636364	0.498181818181818	0.497272727272727	0.493636363636364	0.496363636363637	0.490909090909091
0.457272727272727	0.462727272727273	0.482727272727273	0.479090909090909	0.498181818181818	0.487272727272727	0.497272727272727	0.483636363636364	0.489090909090909	0.483636363636364	0.482727272727273	0.485454545454546	0.498181818181818	0.497272727272727	0.494545454545455	0.493636363636364	0.488181818181818	0.498181818181818	0.492727272727273	0.498181818181818
0.452727272727273	0.457272727272727	0.48	0.471818181818182	0.477272727272727	0.487272727272727	0.498181818181818	0.49	0.482727272727273	0.493636363636364	0.498181818181818	0.489090909090909	0.492727272727273	0.496363636363636	0.487272727272727	0.497272727272727	0.498181818181818	0.498181818181818	0.492727272727273	0.497272727272727
0.465454545454546	0.471818181818182	0.477272727272727	0.478181818181818	0.484545454545455	0.483636363636364	0.491818181818182	0.488181818181818	0.497272727272727	0.491818181818182	0.498181818181818	0.493636363636364	0.490909090909091	0.498181818181818	0.497272727272727	0.497272727272727	0.497272727272727	0.493636363636364	0.494545454545455	0.483636363636364
0.464545454545455	0.450909090909091	0.482727272727273	0.482727272727273	0.492727272727273	0.481818181818182	0.492727272727273	0.482727272727273	0.498181818181818	0.497272727272727	0.498181818181818	0.492727272727273	0.494545454545455	0.493636363636364	0.498181818181818	0.498181818181818	0.491818181818182	0.490909090909091	0.497272727272727	0.497272727272727
