t-1	t-3	t-5	t-7	t-9	t-11	t-13	t-15	t-17	t-19	t-21	t-23	t-25	t-27	t-29	t-31	t-33	t-35	t-37	t-39	t-41	t-43	t-45	t-47	t-49	
0.47181818181818186	0.46818181818181814	0.49363636363636376	0.46818181818181825	0.4827272727272727	0.47909090909090923	0.4954545454545455	0.49363636363636376	0.48727272727272736	0.4981818181818182	0.4872727272727273	0.49454545454545457	0.4981818181818183	0.49272727272727274	0.4909090909090909	0.49363636363636365	0.49000000000000005	0.4972727272727273	0.49454545454545457	0.4981818181818182	0.48818181818181833	0.4918181818181818	0.4981818181818182	0.4981818181818182	0.49454545454545457
0.4590909090909091	0.45545454545454545	0.4909090909090909	0.49090909090909096	0.4772727272727274	0.48181818181818187	0.4954545454545455	0.4981818181818182	0.4863636363636365	0.4881818181818182	0.490909090909091	0.49363636363636376	0.4972727272727273	0.49454545454545457	0.4972727272727273	0.4963636363636364	0.49272727272727274	0.4981818181818183	0.4981818181818183	0.4963636363636364	0.4981818181818182	0.4981818181818183	0.4981818181818183	0.49454545454545457	0.4981818181818183
0.45909090909090905	0.4790909090909091	0.46727272727272734	0.4790909090909092	0.4845454545454545	0.47090909090909094	0.4836363636363637	0.4881818181818182	0.48727272727272736	0.4972727272727273	0.48818181818181816	0.48727272727272725	0.4972727272727273	0.4927272727272728	0.48818181818181816	0.48727272727272736	0.49454545454545457	0.4972727272727273	0.4890909090909092	0.4972727272727273	0.4963636363636364	0.4981818181818183	0.4972727272727273	0.4972727272727273	0.4972727272727273
0.44818181818181824	0.4672727272727273	0.48727272727272736	0.4845454545454545	0.4772727272727273	0.480909090909091	0.48272727272727267	0.49272727272727274	0.4900000000000001	0.490909090909091	0.49090909090909096	0.4918181818181818	0.49454545454545457	0.4854545454545455	0.49090909090909096	0.49181818181818193	0.4981818181818182	0.49363636363636376	0.4927272727272727	0.4981818181818183	0.4972727272727273	0.490909090909091	0.4981818181818182	0.4881818181818182	0.4981818181818182
0.47181818181818197	0.4672727272727273	0.48454545454545467	0.4918181818181818	0.4790909090909091	0.4790909090909091	0.4827272727272727	0.4863636363636365	0.48000000000000004	0.4936363636363637	0.4981818181818183	0.4818181818181819	0.4981818181818183	0.49454545454545457	0.48727272727272736	0.49090909090909096	0.4981818181818183	0.4981818181818183	0.49090909090909096	0.4972727272727273	0.4818181818181818	0.4981818181818183	0.4981818181818182	0.49181818181818193	0.4890909090909092
0.46181818181818185	0.4727272727272727	0.4781818181818182	0.47818181818181826	0.490909090909091	0.48909090909090913	0.4881818181818182	0.4927272727272727	0.4863636363636364	0.4881818181818182	0.49181818181818193	0.4881818181818182	0.48454545454545467	0.49363636363636376	0.4981818181818182	0.4981818181818183	0.49363636363636376	0.48909090909090913	0.4981818181818183	0.4981818181818182	0.49454545454545457	0.4972727272727273	0.49454545454545457	0.4981818181818182	0.4972727272727273
0.45818181818181813	0.4654545454545455	0.48000000000000004	0.48000000000000004	0.4954545454545455	0.47636363636363643	0.48181818181818187	0.4927272727272727	0.48818181818181816	0.4890909090909092	0.4863636363636364	0.49363636363636376	0.49454545454545457	0.4981818181818183	0.4972727272727273	0.49454545454545457	0.4927272727272728	0.4981818181818183	0.4972727272727273	0.4981818181818182	0.4972727272727273	0.49636363636363645	0.4981818181818183	0.4963636363636364	0.4972727272727273
0.4345454545454545	0.4636363636363637	0.49454545454545457	0.4827272727272727	0.48818181818181816	0.48181818181818187	0.4854545454545455	0.49090909090909096	0.48545454545454547	0.4872727272727273	0.4981818181818183	0.4981818181818182	0.4890909090909092	0.490909090909091	0.49363636363636376	0.4981818181818183	0.49363636363636376	0.4918181818181818	0.4981818181818182	0.4981818181818182	0.4972727272727273	0.4981818181818182	0.4972727272727273	0.4972727272727273	0.4972727272727273
0.46363636363636374	0.4681818181818183	0.46818181818181825	0.4827272727272728	0.4818181818181818	0.4845454545454546	0.49181818181818193	0.49272727272727274	0.4972727272727273	0.4863636363636364	0.49363636363636365	0.49000000000000005	0.49454545454545457	0.49363636363636376	0.4927272727272727	0.49272727272727274	0.4981818181818183	0.49454545454545457	0.4981818181818182	0.4972727272727273	0.4981818181818183	0.4981818181818183	0.4981818181818183	0.48909090909090913	0.4981818181818183
0.4763636363636363	0.48090909090909106	0.47181818181818186	0.4890909090909092	0.47454545454545466	0.4872727272727273	0.4718181818181819	0.48909090909090913	0.4863636363636364	0.49181818181818193	0.4981818181818183	0.49090909090909096	0.4872727272727273	0.4981818181818183	0.4981818181818182	0.4972727272727273	0.4972727272727273	0.4963636363636364	0.4827272727272728	0.4981818181818182	0.4981818181818183	0.49636363636363645	0.4981818181818182	0.4981818181818182	0.4972727272727273
