Maximum time exceeded.
Time,Quality,AMs
85,0.3004761904761904,17
704,0.30047619047619045,17
1074,0.28095238095238095,14
2872,0.3490476190476191,19
3434,0.3490476190476191,19
5274,0.3490476190476191,19
5850,0.3490476190476191,19
7435,0.3528571428571429,19
8119,0.3528571428571429,19
8551,0.3157142857142857,17
10401,0.3695238095238096,20
Maximum time exceeded.
Time,Quality,AMs
100,0.3257142857142857,18
725,0.3257142857142857,18
1095,0.29238095238095246,16
2866,0.34238095238095245,19
3439,0.34238095238095245,19
5251,0.36000000000000004,20
5838,0.36000000000000004,20
7447,0.36000000000000004,20
8135,0.36000000000000004,20
8569,0.32476190476190475,18
10446,0.360952380952381,20
Known optimum reached.
Time,Quality,AMs
93,0.36047619047619056,19
734,0.36047619047619056,19
1119,0.3214285714285714,17
2552,0.380952380952381,20
Maximum time exceeded.
Time,Quality,AMs
86,0.31809523809523804,18
727,0.3180952380952381,18
1119,0.2885714285714286,16
2942,0.3323809523809524,18
3518,0.3323809523809524,18
5376,0.3528571428571429,19
5975,0.3528571428571429,19
7586,0.3528571428571429,19
8284,0.3528571428571429,19
8724,0.3147619047619048,17
10586,0.339047619047619,18
Maximum time exceeded.
Time,Quality,AMs
90,0.310952380952381,17
706,0.310952380952381,17
1073,0.27190476190476187,15
2883,0.34238095238095234,19
3442,0.34238095238095234,19
5272,0.3538095238095238,19
5853,0.3538095238095238,19
7441,0.36952380952380953,20
8115,0.36952380952380953,20
8544,0.3314285714285714,18
10405,0.3761904761904762,20
Maximum time exceeded.
Time,Quality,AMs
87,0.30333333333333334,17
741,0.30333333333333334,17
1094,0.27095238095238094,15
2790,0.3442857142857143,19
3347,0.3442857142857143,19
5173,0.3528571428571429,19
5751,0.3528571428571429,19
7346,0.3528571428571429,19
8019,0.3528571428571429,19
8440,0.31380952380952387,17
10311,0.36380952380952386,20
Maximum time exceeded.
Time,Quality,AMs
82,0.2933333333333334,16
691,0.2933333333333334,16
1042,0.2585714285714286,13
2779,0.3352380952380952,18
3313,0.3352380952380952,18
5118,0.3461904761904762,19
5674,0.3461904761904762,19
7260,0.3461904761904762,19
7917,0.3461904761904762,19
8333,0.30952380952380953,16
9904,0.36380952380952386,20
Maximum time exceeded.
Time,Quality,AMs
85,0.3309523809523809,19
710,0.3309523809523809,19
1082,0.2957142857142857,17
2891,0.351904761904762,19
3459,0.351904761904762,19
5295,0.351904761904762,19
5889,0.351904761904762,19
7488,0.351904761904762,19
8165,0.351904761904762,19
8605,0.3157142857142857,17
10494,0.36000000000000004,20
Maximum time exceeded.
Time,Quality,AMs
87,0.3080952380952381,17
712,0.3080952380952381,17
1061,0.28047619047619043,15
2858,0.33714285714285724,18
3410,0.33714285714285724,18
5229,0.33714285714285724,18
5801,0.33714285714285724,18
7387,0.33714285714285724,18
8062,0.33714285714285724,18
8483,0.2990476190476191,16
10328,0.3366666666666667,17
Maximum time exceeded.
Time,Quality,AMs
84,0.3157142857142858,17
704,0.3157142857142858,17
1074,0.27857142857142864,15
2854,0.3404761904761905,19
3434,0.3404761904761905,19
5274,0.35,19
5867,0.35,19
7468,0.35,19
8144,0.35,19
8581,0.30904761904761907,17
10452,0.3547619047619048,19
Known optimum reached.
Time,Quality,AMs
85,0.30333333333333334,17
709,0.30333333333333334,17
1050,0.27714285714285714,14
2836,0.37238095238095237,20
3381,0.37238095238095237,20
5210,0.380952380952381,20
Maximum time exceeded.
Time,Quality,AMs
84,0.29,17
698,0.29,17
1055,0.2647619047619048,14
2823,0.3471428571428572,19
3370,0.3471428571428572,19
5196,0.3590476190476191,20
5792,0.3590476190476191,20
7508,0.36000000000000004,20
8177,0.36000000000000004,20
8618,0.31523809523809526,18
10471,0.3338095238095239,19
Known optimum reached.
Time,Quality,AMs
91,0.30857142857142855,18
718,0.30857142857142855,18
1073,0.2761904761904762,16
2865,0.3490476190476191,19
3412,0.3490476190476191,19
5237,0.36476190476190473,20
5812,0.36476190476190473,20
7407,0.36476190476190473,20
8087,0.36476190476190473,20
8508,0.32285714285714284,18
9689,0.380952380952381,20
Known optimum reached.
Time,Quality,AMs
87,0.3614285714285715,19
735,0.3614285714285715,19
1114,0.31666666666666665,17
2248,0.380952380952381,20
Maximum time exceeded.
Time,Quality,AMs
86,0.30904761904761907,15
718,0.30904761904761907,15
1085,0.28666666666666674,14
2852,0.3400000000000001,18
3447,0.3400000000000001,18
5273,0.34619047619047627,19
5851,0.34619047619047627,19
7452,0.34619047619047627,19
8115,0.34619047619047627,19
8569,0.30904761904761907,17
10445,0.34857142857142853,20
Maximum time exceeded.
Time,Quality,AMs
86,0.311904761904762,17
701,0.311904761904762,17
1055,0.27285714285714285,15
2839,0.3452380952380953,19
3375,0.3452380952380953,19
5186,0.3452380952380953,19
5759,0.3452380952380953,19
7346,0.3452380952380953,19
8007,0.3452380952380953,19
8421,0.30809523809523814,17
10283,0.36380952380952386,20
Maximum time exceeded.
Time,Quality,AMs
87,0.32095238095238093,18
714,0.32095238095238093,18
1088,0.28952380952380957,16
2889,0.35190476190476194,19
3454,0.35190476190476194,19
5291,0.36380952380952375,20
5878,0.36380952380952375,20
7468,0.36380952380952375,20
8157,0.36380952380952375,20
8591,0.32666666666666666,18
10467,0.3461904761904762,19
Maximum time exceeded.
Time,Quality,AMs
82,0.3585714285714286,19
695,0.3585714285714286,19
1057,0.3214285714285714,17
2817,0.35,19
3382,0.35,19
5204,0.36476190476190473,20
5794,0.36476190476190473,20
7388,0.36476190476190473,20
8065,0.36476190476190473,20
8517,0.3219047619047619,18
