Known optimum reached.
Time,Quality,AMs
Time,Quality,AMs
106,0.6440000000000003,42
370,0.5880000000000003,38
887,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
106,0.6560000000000004,42
378,0.5960000000000003,38
868,0.7040000000000004,42
1132,0.6400000000000003,38
1481,0.6400000000000003,38
1883,0.6400000000000003,38
2128,0.5800000000000003,34
2631,0.7120000000000004,40
2879,0.6560000000000004,36
3208,0.6560000000000004,36
3594,0.6560000000000004,36
3829,0.5880000000000003,32
4254,0.7260000000000004,43
Known optimum reached.
Time,Quality,AMs
106,0.6160000000000004,42
368,0.5640000000000003,38
922,0.6980000000000004,43
1183,0.6260000000000003,39
1524,0.6260000000000003,39
1921,0.6260000000000003,39
2164,0.5700000000000002,35
2626,0.7140000000000004,43
2872,0.6380000000000003,39
3204,0.6380000000000003,39
3578,0.6380000000000003,39
3816,0.5820000000000002,35
4276,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
104,0.6260000000000003,41
371,0.5700000000000002,37
881,0.7040000000000004,44
1144,0.6520000000000004,40
1490,0.6520000000000004,40
1894,0.6520000000000004,40
2137,0.5960000000000003,36
2605,0.7260000000000004,43
Known optimum reached.
Time,Quality,AMs
103,0.6120000000000003,42
365,0.5400000000000003,32
868,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
103,0.6500000000000004,41
365,0.5700000000000003,35
856,0.6880000000000004,42
1116,0.6320000000000002,38
1456,0.6320000000000002,38
1864,0.6320000000000002,38
2105,0.5800000000000002,34
2577,0.6960000000000004,42
2823,0.6320000000000003,38
3151,0.6320000000000003,38
3527,0.6320000000000003,38
3755,0.5900000000000003,37
4209,0.7020000000000004,43
4445,0.6220000000000003,39
4767,0.6500000000000004,41
5135,0.6500000000000004,41
5365,0.5700000000000003,37
5853,0.6800000000000004,44
6088,0.6040000000000004,40
6406,0.6280000000000003,42
6767,0.6280000000000003,42
6993,0.5840000000000003,38
7459,0.7180000000000004,45
7699,0.6700000000000004,41
8027,0.6960000000000004,42
8390,0.6960000000000004,42
8625,0.6320000000000005,38
9058,0.7160000000000004,44
9296,0.6560000000000004,40
9626,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
110,0.6420000000000003,41
371,0.5780000000000003,37
856,0.7060000000000004,43
1121,0.6340000000000003,39
1462,0.6340000000000003,39
1862,0.6340000000000003,39
2107,0.5860000000000003,37
2574,0.7060000000000004,45
2828,0.6180000000000003,41
3157,0.6260000000000003,41
3539,0.6260000000000003,41
3773,0.5540000000000004,37
4288,0.6980000000000005,43
4539,0.6300000000000003,39
4869,0.6640000000000004,42
5239,0.6640000000000004,42
5475,0.5760000000000003,38
5904,0.7220000000000004,45
6140,0.6500000000000004,41
6466,0.6620000000000004,41
6832,0.6620000000000004,41
7069,0.5980000000000003,37
7511,0.7200000000000004,44
7752,0.6680000000000004,40
8078,0.6940000000000004,43
8445,0.6940000000000004,43
8684,0.6260000000000003,39
9114,0.7260000000000004,43
Known optimum reached.
Time,Quality,AMs
102,0.6500000000000004,43
361,0.5940000000000003,39
876,0.7040000000000004,42
1136,0.6520000000000004,38
1488,0.7040000000000004,42
1886,0.7040000000000004,42
2130,0.6160000000000003,38
2584,0.7260000000000004,43
Known optimum reached.
Time,Quality,AMs
108,0.6320000000000003,40
358,0.5840000000000002,36
835,0.7020000000000004,43
1092,0.6500000000000004,39
1431,0.7020000000000004,43
1850,0.7020000000000004,43
2102,0.6540000000000004,39
2576,0.7260000000000004,45
Known optimum reached.
Time,Quality,AMs
106,0.6100000000000003,39
371,0.5660000000000003,35
842,0.7080000000000005,44
1104,0.6440000000000003,40
1449,0.6440000000000003,40
1846,0.6440000000000003,40
2098,0.5800000000000003,36
2555,0.7160000000000004,44
2806,0.6640000000000004,40
3140,0.6640000000000004,40
3518,0.6640000000000004,40
3752,0.5880000000000003,36
4182,0.7260000000000004,45
