Known optimum reached.
Time,Quality,AMs
130,0.7466666666666668,56
409,0.7066666666666669,50
888,0.8300000000000004,63
1170,0.7700000000000001,57
1525,0.7700000000000001,57
1954,0.7700000000000001,57
2223,0.6766666666666669,51
2668,0.836666666666667,63
Known optimum reached.
Time,Quality,AMs
131,0.7600000000000006,58
407,0.6933333333333335,52
874,0.8200000000000004,64
1154,0.7333333333333334,58
1495,0.7733333333333338,60
1919,0.7733333333333338,60
2183,0.6933333333333336,54
2627,0.836666666666667,63
Known optimum reached.
Time,Quality,AMs
125,0.7633333333333336,55
396,0.6866666666666669,50
855,0.8233333333333336,61
1136,0.7700000000000002,55
1478,0.7833333333333335,57
1899,0.7833333333333335,57
2153,0.7266666666666667,50
2593,0.836666666666667,63
Known optimum reached.
Time,Quality,AMs
130,0.786666666666667,62
413,0.7133333333333337,54
876,0.836666666666667,63
Known optimum reached.
Time,Quality,AMs
129,0.7766666666666668,61
410,0.7166666666666669,55
885,0.8300000000000004,63
1168,0.7433333333333336,57
1512,0.7433333333333336,57
1945,0.7433333333333336,57
2208,0.6633333333333338,51
2660,0.836666666666667,63
Known optimum reached.
Time,Quality,AMs
127,0.7700000000000001,61
408,0.7000000000000003,52
869,0.8200000000000004,62
1154,0.7400000000000002,56
1495,0.7466666666666669,58
1922,0.7466666666666669,58
2182,0.6666666666666667,52
2625,0.8300000000000003,63
2889,0.7500000000000004,57
3225,0.7533333333333335,52
3641,0.7533333333333335,52
3895,0.6900000000000002,47
4320,0.8200000000000004,62
4577,0.7666666666666673,56
4896,0.796666666666667,61
5296,0.796666666666667,61
5542,0.7033333333333337,55
5964,0.8200000000000002,62
6220,0.7600000000000001,56
6534,0.7733333333333337,60
6922,0.7733333333333337,60
7168,0.7200000000000003,54
7593,0.8233333333333337,63
7849,0.7300000000000003,57
8167,0.836666666666667,63
Known optimum reached.
Time,Quality,AMs
130,0.7800000000000002,62
419,0.7066666666666667,52
890,0.8233333333333338,63
1178,0.7700000000000002,57
1527,0.7700000000000002,57
1963,0.7700000000000002,57
2229,0.7100000000000002,51
