Maximum time exceeded.
Time,Quality,AMs
102,0.32571428571428573,18
429,0.2923809523809524,16
2182,0.3414285714285714,19
2528,0.3080952380952381,17
3119,0.3080952380952381,17
3651,0.3080952380952381,17
3982,0.26904761904761904,15
5743,0.34428571428571436,19
6086,0.3052380952380952,17
6691,0.3052380952380952,17
7209,0.3052380952380952,17
7539,0.270952380952381,15
9270,0.3561904761904763,20
9599,0.3266666666666667,18
10188,0.3266666666666667,18
Maximum time exceeded.
Time,Quality,AMs
85,0.309047619047619,17
434,0.27571428571428575,15
2204,0.3271428571428572,17
2531,0.28714285714285714,15
3133,0.30142857142857143,17
3684,0.30142857142857143,17
4013,0.2761904761904762,14
5778,0.33619047619047626,18
6121,0.2952380952380953,16
6732,0.3033333333333334,17
7268,0.3033333333333334,17
7598,0.26571428571428574,14
9340,0.32952380952380955,18
9666,0.2980952380952381,16
10247,0.350952380952381,19
Maximum time exceeded.
Time,Quality,AMs
84,0.3342857142857143,20
433,0.2980952380952381,18
2221,0.3128571428571429,17
2573,0.2852380952380953,15
3171,0.2852380952380953,15
3704,0.2852380952380953,15
4030,0.2638095238095238,14
5761,0.3633333333333333,19
6102,0.3280952380952381,17
6702,0.3438095238095238,18
7232,0.3438095238095238,18
7565,0.2980952380952381,16
9300,0.33952380952380956,19
9632,0.3033333333333333,17
10218,0.3033333333333333,17
Maximum time exceeded.
Time,Quality,AMs
86,0.3057142857142857,16
422,0.2704761904761905,14
2157,0.34047619047619054,19
2482,0.29857142857142854,17
3079,0.29857142857142854,17
3603,0.29857142857142854,17
3923,0.2733333333333333,14
5796,0.33714285714285713,18
6241,0.3085714285714286,16
6929,0.3085714285714286,16
7600,0.3085714285714286,16
7985,0.27714285714285714,14
9831,0.35428571428571426,20
Maximum time exceeded.
Time,Quality,AMs
86,0.3138095238095238,17
434,0.2766666666666667,15
2206,0.32476190476190475,18
2562,0.28761904761904766,16
3197,0.29000000000000004,15
3791,0.29000000000000004,15
4144,0.27142857142857146,14
5985,0.3276190476190477,18
6368,0.2914285714285715,16
7055,0.2914285714285715,16
7700,0.2914285714285715,16
8079,0.2704761904761905,14
9926,0.35047619047619055,20
Maximum time exceeded.
Time,Quality,AMs
96,0.3252380952380952,19
485,0.2966666666666667,17
2258,0.3638095238095238,20
2605,0.3304761904761905,18
3213,0.3304761904761905,18
3758,0.3304761904761905,18
4095,0.2990476190476191,16
5858,0.34,18
6203,0.3085714285714286,16
6808,0.3085714285714286,16
7321,0.3085714285714286,16
7647,0.27428571428571424,14
